DEVICE_NAME;PACKAGE_NAME;VERSION_NO;
XMC4700;LQFP 144;V2.1.10;
PIN_NO;PHYSICAL_PIN;PERIPHERAL_NAME;MODULE_NAME;SIGNAL_NAME;PIN_NAME;COMMENT;
143;P0.3;CCU8;CCU80;Slice 2 Output;OUT20;pwm_vh;
142;P0.4;CCU8;CCU80;Slice 1 Output;OUT10;pwm_uh;
36;P14.6;ADC;VADC;Group 0;G0CH6;Iu;
1;P0.1;CCU8;CCU80;Slice 1 Output;OUT11;pwm_ul;
2;P0.0;CCU8;CCU80;Slice 2 Output;OUT21;pwm_vl;
117;P4.7;Quad SPI Master;U2C1;DATA0;DOUT0&HWIN0;eep_mosi;
96;P6.5;CAN;CAN;Node 3;N3_TXD;can_tx;
118;P4.6;Quad SPI Master;U2C1;DATA1;DOUT1&HWIN1;eep_miso;
95;P6.6;CAN;CAN;Node 3;N3_RXDB;can_rx;
128;P0.7;CCU8;CCU80;Slice 1 Input;IN1A;Trip;
121;P4.3;Quad SPI Master;U2C1;Chip Selects;SELO2;eep_cs;
140;P0.6;CCU8;CCU80;Slice 3 Output;OUT30;pwm_wh;
122;P4.2;Quad SPI Master;U2C1;SCK;SCLKOUT;eep_sck;
4;P0.9;Port Pins;GPIO;Port 0;P0.9;do1;
119;P4.5;Quad SPI Master;U2C1;DATA2;DOUT2&HWIN2;eep_wp;
120;P4.4;Quad SPI Master;U2C1;DATA3;DOUT3&HWIN3;eep_hold;
3;P0.10;Port Pins;GPIO;Port 0;P0.10;do2;
49;P15.13;Port Pins;GPIO;Port 15;P15.13;button1;
139;P0.11;CCU8;CCU80;Slice 3 Output;OUT31;pwm_wl;
88;XTAL2;HP Oscillator;HP Oscillator;Crystal Output;XTAL2;;
87;XTAL1;HP Oscillator;HP Oscillator;Crystal Input;XTAL1;;
50;P15.12;Port Pins;GPIO;Port 15;P15.12;button2;
104;P1.12;CAN;CAN;Node 1;N1_TXD;can_tx_int;
103;P1.13;CAN;CAN;Node 1;N1_RXDC;can_rx_int;
46;VAREF;ADC;VADC;Reference;VAREF;;
34;P14.12;ADC;VADC;Group 1;G1CH4;Iv;
33;P14.13;ADC;VADC;Group 1;G1CH5;Udc;
7;P3.0;Port Pins;GPIO;Port 3;P3.0;di1;
108;P1.4;UART Full Duplex;U0C0;RXD;DX0B;uart_rx;
5;P3.2;Port Pins;GPIO;Port 3;P3.2;di3;
6;P3.1;Port Pins;GPIO;Port 3;P3.1;di2;
30;P15.2;ADC;VADC;Group 2;G2CH2;Iw;
29;P15.3;ADC;VADC;Group 2;G2CH3;Temp;
58;P5.8;Port Pins;GPIO;Port 5;P5.8;led2;
77;P5.7;Port Pins;GPIO;Port 5;P5.7;dc_relay;
107;P1.5;UART Full Duplex;U0C0;TXD;DOUT0;uart_tx;
132;P3.3;Port Pins;GPIO;Port 3;P3.3;di4;
57;P5.9;Port Pins;GPIO;Port 5;P5.9;led1;
45;VAGND;ADC;VADC;Reference;VAGND;;
